hits	conc_ratio	thr
927	0.5706580366774542	0.5270326734
926	0.5712742980561555	0.5397275686
925	0.5718918918918919	0.5598856211
924	0.5714285714285714	0.5735725164
923	0.5720476706392199	0.5737748146
922	0.571583514099783	0.578869462
921	0.5722041259500543	0.5790447593
920	0.5728260869565217	0.5838574171
919	0.5723612622415669	0.5840867758
918	0.5718954248366013	0.5856896043
917	0.5725190839694656	0.5860789418
916	0.5720524017467249	0.5883558989
915	0.5726775956284152	0.588734746
914	0.5722100656455142	0.5891647339
913	0.5728368017524644	0.5892349482
912	0.5723684210526315	0.5895745158
911	0.5718990120746432	0.5897155404
910	0.5725274725274725	0.5906347036
909	0.5731573157315731	0.5909147859
908	0.5726872246696035	0.5910264254
907	0.5733186328555678	0.5929226279
906	0.5728476821192053	0.5933059454
905	0.5734806629834254	0.5935730934
904	0.5741150442477876	0.5941301584
903	0.574750830564784	0.5945159197
902	0.5742793791574279	0.5948950052
901	0.5738068812430632	0.5957181454
900	0.5733333333333334	0.5969341993
899	0.5739710789766407	0.5970703959
898	0.5734966592427617	0.5972577333
897	0.5741360089186176	0.5978900194
896	0.5736607142857143	0.598079145
895	0.5731843575418994	0.5993207097
894	0.5727069351230425	0.5993850231
893	0.5722284434490481	0.5996688604
892	0.5728699551569507	0.5999599695
891	0.5723905723905723	0.6013139486
890	0.5719101123595506	0.6015130281
889	0.5725534308211474	0.6016761661
888	0.5720720720720721	0.6019061804
887	0.5715896279594137	0.6019645929
886	0.5711060948081265	0.6021392941
885	0.5706214689265536	0.6021785736
884	0.5712669683257918	0.6022984385
883	0.5707814269535674	0.6032418609
882	0.5714285714285714	0.6033351421
881	0.5709421112372304	0.6038497686
880	0.571590909090909	0.6039766073
879	0.571103526734926	0.6042087078
878	0.570615034168565	0.6044548154
877	0.5712656784492588	0.6054213643
876	0.571917808219178	0.6060193777
875	0.5714285714285714	0.6069706082
874	0.5720823798627003	0.6073625684
873	0.5715922107674685	0.6075267792
872	0.5722477064220184	0.6075388789
871	0.5729047072330654	0.6079480052
870	0.5735632183908046	0.6083672643
869	0.57307249712313	0.6084343791
868	0.5725806451612904	0.6090241075
867	0.5720876585928489	0.6090624928
866	0.5727482678983834	0.6090638041
865	0.5722543352601156	0.6091941595
864	0.5729166666666666	0.6093777418
863	0.5724217844727694	0.6097345948
862	0.5719257540603249	0.6105343103
861	0.5714285714285714	0.6109016538
860	0.5720930232558139	0.6110647321
859	0.5715948777648429	0.611186862
858	0.5722610722610723	0.611233592
857	0.572928821470245	0.6113849282
856	0.572429906542056	0.6118224263
855	0.5730994152046783	0.6126295924
854	0.5737704918032787	0.6132249236
853	0.5744431418522861	0.6139332652
852	0.573943661971831	0.6139742136
851	0.5734430082256169	0.6140505672
850	0.5729411764705883	0.6141698956
849	0.5724381625441696	0.6141751409
848	0.5719339622641509	0.6144636869
847	0.5726092089728453	0.6145527363
846	0.5732860520094563	0.6147793531
845	0.5727810650887574	0.6149852276
844	0.5722748815165877	0.6153585315
843	0.5729537366548043	0.6159999967
842	0.5724465558194775	0.6162347198
841	0.5719381688466112	0.6165038347
840	0.5726190476190476	0.6166203022
839	0.5721096543504172	0.6166417003
838	0.5727923627684964	0.6172543764
837	0.5722819593787336	0.6176121831
836	0.5729665071770335	0.6186301708
835	0.5736526946107784	0.618735671
834	0.5743405275779376	0.6190254688
833	0.575030012004802	0.6190778017
832	0.5757211538461539	0.6192219257
831	0.5764139590854392	0.619227767
830	0.5759036144578313	0.6196810007
829	0.5765983112183354	0.6202036738
828	0.5760869565217391	0.6203147173
827	0.5755743651753326	0.6206454039
826	0.5750605326876513	0.6212714911
825	0.5757575757575758	0.6214108467
824	0.5764563106796117	0.6215050817
823	0.5771567436208992	0.6216092706
822	0.5766423357664233	0.6220340729
821	0.5761266747868453	0.6225477457
820	0.5756097560975609	0.622651577
819	0.5763125763125763	0.6226633191
