hits	conc_ratio	thr
671	0.6125186289120715	0.00402
670	0.6134328358208955	0.00403
669	0.6143497757847534	0.00413
668	0.6137724550898204	0.00527
667	0.6131934032983508	0.00542
666	0.6126126126126126	0.00549
665	0.6135338345864662	0.00579
664	0.6129518072289156	0.00584
663	0.6123680241327301	0.00601
662	0.6132930513595166	0.00607
661	0.6127080181543116	0.00671
660	0.6136363636363636	0.00683
659	0.6145675265553869	0.00693
658	0.6155015197568389	0.00701
657	0.6149162861491628	0.00704
656	0.614329268292683	0.00709
655	0.6137404580152672	0.0072
654	0.6146788990825688	0.00722
653	0.6140888208269525	0.00725
652	0.6134969325153374	0.00735
651	0.6144393241167435	0.00746
650	0.6138461538461538	0.00761
649	0.6147919876733436	0.00785
648	0.6141975308641975	0.0083
647	0.6136012364760433	0.00836
646	0.6145510835913313	0.00844
645	0.6155038759689923	0.00847
644	0.6149068322981367	0.00852
643	0.6158631415241057	0.00854
642	0.6152647975077882	0.00868
641	0.6162246489859594	0.0088
640	0.6171875	0.00904
639	0.6181533646322379	0.00913
638	0.6191222570532915	0.00923
637	0.6200941915227629	0.00941
636	0.6194968553459119	0.00963
635	0.6188976377952756	0.00964
634	0.6182965299684543	0.00985
633	0.6192733017377567	0.00986
632	0.6186708860759493	0.00995
631	0.6196513470681458	0.01019
630	0.6190476190476191	0.01032
629	0.6184419713831478	0.01035
628	0.6194267515923567	0.01036
627	0.620414673046252	0.01051
626	0.6214057507987221	0.01055
625	0.6224	0.01062
624	0.6217948717948718	0.01066
623	0.622792937399679	0.0108
622	0.6221864951768489	0.01092
621	0.6231884057971014	0.01096
620	0.6241935483870967	0.01105
619	0.6252019386106623	0.0112
618	0.6262135922330098	0.01135
617	0.6256077795786061	0.01147
616	0.625	0.01151
615	0.624390243902439	0.01155
614	0.6237785016286646	0.01159
613	0.6247960848287113	0.01168
612	0.6241830065359477	0.01171
611	0.6252045826513911	0.01178
610	0.6262295081967213	0.01233
609	0.625615763546798	0.01239
608	0.625	0.01263
607	0.6243822075782537	0.01269
606	0.6254125412541254	0.01272
605	0.6264462809917355	0.01281
603	0.6268656716417911	0.01283
603	0.6268656716417911	0.01283
602	0.627906976744186	0.01291
601	0.6289517470881864	0.01299
600	0.6283333333333333	0.01336
599	0.6277128547579299	0.01343
598	0.6287625418060201	0.01353
597	0.6298157453936348	0.01355
596	0.6291946308724832	0.01373
595	0.6302521008403361	0.014
594	0.6313131313131313	0.01411
593	0.6323777403035413	0.01419
592	0.6334459459459459	0.01433
591	0.6328257191201354	0.01442
590	0.6322033898305085	0.01457
589	0.631578947368421	0.01469
588	0.6309523809523809	0.01474
587	0.6303236797274276	0.01478
586	0.6296928327645052	0.01499
585	0.6307692307692307	0.01508
584	0.6301369863013698	0.01516
583	0.6312178387650086	0.01523
582	0.6323024054982818	0.01529
581	0.6316695352839932	0.01535
580	0.6327586206896552	0.01539
579	0.6321243523316062	0.01575
578	0.6314878892733564	0.0158
577	0.6325823223570191	0.01593
576	0.6319444444444444	0.01604
575	0.6330434782608696	0.01605
574	0.632404181184669	0.01608
573	0.6335078534031413	0.01627
572	0.6346153846153846	0.01638
571	0.6339754816112084	0.01643
570	0.6333333333333333	0.01652
569	0.632688927943761	0.01656
568	0.6338028169014085	0.01669
567	0.6331569664902998	0.0167
566	0.6342756183745583	0.01679
565	0.6336283185840708	0.0168
563	0.6341030195381883	0.01685
563	0.6341030195381883	0.01685
562	0.6334519572953736	0.0169
561	0.6327985739750446	0.01704
560	0.6339285714285714	0.01707
