threshold	hits	conc_ratio
3.216442480857859e-06	2	1.0
7.864199877963372e-06	10	0.9
1.9067524932033736e-05	18	0.9444444444444444
2.1213895142595032e-05	18	0.9444444444444444
2.705394354344231e-05	20	0.9
2.8362793651510336e-05	20	0.9
3.44413772196662e-05	27	0.8888888888888888
3.62270735039188e-05	27	0.8888888888888888
5.100764770775108e-05	33	0.8484848484848485
5.6248597260665744e-05	36	0.8055555555555556
5.6248597260665744e-05	36	0.8055555555555556
5.6248597260665744e-05	36	0.8055555555555556
6.20887025174651e-05	38	0.8157894736842105
6.518906345418691e-05	38	0.8157894736842105
8.747330407624742e-05	44	0.8409090909090909
8.747330407624742e-05	44	0.8409090909090909
9.641371420243045e-05	48	0.8541666666666666
9.641371420243045e-05	48	0.8541666666666666
0.0001231071279942	52	0.8461538461538461
0.0001356191019867	54	0.8518518518518519
0.0001495620099371	54	0.8518518518518519
0.0001731608387465	58	0.8275862068965517
0.0001731608387465	58	0.8275862068965517
0.0001731608387465	58	0.8275862068965517
0.000200569691665	68	0.7794117647058824
0.000200569691665	68	0.7794117647058824
0.0002321491878554	71	0.7887323943661971
0.0002321491878554	71	0.7887323943661971
0.0002437130062761	73	0.7945205479452054
0.0002558643498066	74	0.7972972972972973
0.0002687369785918	76	0.8026315789473685
0.0002687369785918	76	0.8026315789473685
0.0002822029101112	80	0.8
0.0002963843104106	81	0.7901234567901234
0.0002963843104106	81	0.7901234567901234
0.0003111648363737	82	0.7926829268292683
0.0003601424505282	90	0.7888888888888889
0.000378256016154	94	0.7978723404255319
0.000378256016154	94	0.7978723404255319
0.0004168738458427	99	0.8080808080808081
0.0004168738458427	99	0.8080808080808081
0.0004168738458427	99	0.8080808080808081
0.0004596507396418	106	0.8113207547169812
0.0004596507396418	106	0.8113207547169812
0.0004596507396418	106	0.8113207547169812
0.0004596507396418	106	0.8113207547169812
0.0005068425725144	110	0.8181818181818182
0.000558926378992	115	0.8173913043478261
0.000586812204956	118	0.7966101694915254
0.000586812204956	118	0.7966101694915254
0.000646992997421	123	0.7967479674796748
0.0006794101263063	125	0.792
0.0006794101263063	125	0.792
0.0007488861920773	131	0.7786259541984732
0.0007488861920773	131	0.7786259541984732
0.0007864279386935	135	0.7777777777777778
0.0007864279386935	135	0.7777777777777778
0.0007864279386935	135	0.7777777777777778
0.0008671071981089	138	0.7753623188405797
0.0009103726771123	140	0.7785714285714286
0.0009103726771123	140	0.7785714285714286
0.0009558892754307	143	0.7762237762237763
0.0009558892754307	143	0.7762237762237763
0.0010539724690967	145	0.7655172413793103
0.001106649569404	150	0.76
0.001106649569404	150	0.76
0.001106649569404	150	0.76
0.0011620605681329	151	0.7549668874172185
0.0012201065835453	152	0.75
0.0012201065835453	152	0.75
0.0012811133666835	155	0.7419354838709677
0.0012811133666835	155	0.7419354838709677
0.0014124513062293	160	0.73125
0.0014124513062293	160	0.73125
0.0014831140034038	162	0.7283950617283951
0.0014831140034038	162	0.7283950617283951
0.0014831140034038	162	0.7283950617283951
0.0015573656894016	164	0.725609756097561
0.0015573656894016	164	0.725609756097561
0.0015573656894016	164	0.725609756097561
0.0016351830787761	165	0.7272727272727273
0.0016351830787761	165	0.7272727272727273
0.0016351830787761	165	0.7272727272727273
0.0017169384516851	167	0.7245508982035929
0.0017169384516851	167	0.7245508982035929
0.0017169384516851	167	0.7245508982035929
0.0017169384516851	167	0.7245508982035929
0.001802742330471	171	0.7134502923976608
0.001802742330471	171	0.7134502923976608
0.001802742330471	171	0.7134502923976608
0.0018929553551887	173	0.7167630057803468
0.0018929553551887	173	0.7167630057803468
